;;;;;;;;;;;;;x;
EVTNAME4001;蛮族增长;;;;;;;;;;X
EVTDESC4001;地方蛮夷数量增加;;;;;;;;;;X
EVTOPTA4001;蛮族增长;;;;;;;;;;X
EVTNAME4002;蛮族骚动;;;;;;;;;;X
EVTDESC4002;地方官员报告，周围的蛮夷部落最近不断骚动，可能会有入侵事件发生，我们应当早做防范。;;;;;;;;;;X
EVTOPTA4002;他们不会造成什么影响;;;;;;;;;;X
EVTOPTB4002;命地方官员加强戒备;;;;;;;;;;X
EVTNAME4003;入侵蛮族增加;;;;;;;;;;X
EVTDESC4003;入侵蛮夷数量增加;;;;;;;;;;X
EVTOPTA4003;小心！注意监视;;;;;;;;;;X
EVTNAME4004;少量蛮族入侵;;;;;;;;;;X
EVTDESC4004;少量蛮夷开始骚扰我国边界，劫掠人口，抢夺财物;;;;;;;;;;X
EVTOPTA4004;反击;;;;;;;;;;X
EVTNAME4005;较多蛮族入侵;;;;;;;;;;X
EVTDESC4005;较多蛮夷开始骚扰我国边界，劫掠人口，抢夺财物;;;;;;;;;;X
EVTOPTA4005;反击;;;;;;;;;;X
EVTNAME4006;大量蛮族入侵;;;;;;;;;;X
EVTDESC4006;大量蛮夷开始骚扰我国边界，劫掠人口，抢夺财物;;;;;;;;;;X
EVTOPTA4006;反击;;;;;;;;;;X
EVTNAME4007;恐慌;;;;;;;;;;X
EVTDESC4007;蛮夷侵袭边境导致了地方居民的极大恐慌;;;;;;;;;;X
EVTOPTA4007;不闻不问;;;;;;;;;;X
EVTOPTB4007;安抚百姓;;;;;;;;;;X
EVTNAME4008;坚定抵抗的居民;;;;;;;;;;X
EVTDESC4008;蛮夷侵袭边境，但地方的居民依然对国君充满信心;;;;;;;;;;X
EVTOPTA4008;给予支持;;;;;;;;;;X
EVTOPTB4008;不闻不问;;;;;;;;;;X
EVTNAME4009;蛮族威胁加剧;;;;;;;;;;X
EVTDESC4009;边境地区蛮夷力量在不断积累，地方居民正在逐渐丧失信心;;;;;;;;;;X
EVTOPTB4009;给予关怀;;;;;;;;;;X
EVTOPTA4009;不闻不问;;;;;;;;;;X
EVTNAME4010;民族和解;;;;;;;;;;X
EVTDESC4010;战争对于双方而言都是一场灾难，与其以暴力方式互相敌对，不如化干戈为玉帛;;;;;;;;;;X
EVTOPTA4010;派官员前往收买蛮夷首领;;;;;;;;;;X
EVTOPTB4010;支付少量贡金;;;;;;;;;;X
EVTOPTC4010;不闻不问;;;;;;;;;;X
EVTNAME4011;化为尘土;;;;;;;;;;X
EVTDESC4011;此地的蛮夷部落或消散，或迁徙，各部落人数正在逐渐减少;;;;;;;;;;X
EVTOPTA4011;化为尘土;;;;;;;;;;X
EVTNAME4012;远离喧嚣;;;;;;;;;;X
EVTDESC4012;此地的蛮夷部落或消散，或迁徙，此地最终永久成为华夏之地;;;;;;;;;;X
EVTOPTA4012;远离喧嚣;;;;;;;;;;X
EVTNAME4013;同时行动;;;;;;;;;;X
EVTDESC4013;此地的蛮夷部落开始了统一行动;;;;;;;;;;X
EVTOPTA4013;反击;;;;;;;;;;X
EVTNAME4014;同时行动;;;;;;;;;;X
EVTDESC4014;此地的蛮夷部落开始了统一行动;;;;;;;;;;X
EVTOPTA4014;反击;;;;;;;;;;X
EVTNAME4015;同时行动;;;;;;;;;;X
EVTDESC4015;此地的蛮夷部落开始了统一行动;;;;;;;;;;X
EVTOPTA4015;反击;;;;;;;;;;X
EVTNAME4016;叛乱纷纷;;;;;;;;;;X
EVTDESC4016;蛮夷入侵造成了严重的地方骚动;;;;;;;;;;X
EVTOPTA4016;镇压;;;;;;;;;;X
EVTNAME4018;蛮族归降;;;;;;;;;;X
EVTDESC4018;我国的大军正在逼近蛮夷所占领的城市，听闻他们中有人想有文明的生活;;;;;;;;;;X
EVTOPTA4018;坚决镇压;;;;;;;;;;X
EVTOPTB4018;接纳他们;;;;;;;;;;X
fangyumanzu_title;防御蛮族;;;;;;;;;;;;;x
fangyumanzu_desc;防御蛮族;;;;;;;;;;;;;x
xunshibianjiang_title;巡视边疆;;;;;;;;;;;;;x
fanduimanzu;向蛮夷称臣;;;;;;;;;;X
desc_fanduimanzu;我国已经在蛮夷入侵的大潮中失败，现在不得以向蛮夷称臣;;;;;;;;;;X
panluanfenfen;叛乱纷纷;;;;;;;;;;X
desc_panluanfenfen;叛乱纷纷;;;;;;;;;;X
kaishizhunbei;加强戒备;;;;;;;;;;X
desc_kaishizhunbei;加强戒备;;;;;;;;;;X
youmuminjielue;蛮夷侵袭;;;;;;;;;;X
desc_youmuminjielue;蛮夷侵袭;;;;;;;;;;X
manzusaodong;蛮夷骚动;;;;;;;;;;X
desc_manzusaodong;蛮夷骚动;;;;;;;;;;X
hejiechenggong;和解成功;;;;;;;;;;X
desc_hejiechenggong;和解成功;;;;;;;;;;X
wushi;无视蛮夷;;;;;;;;;;X
desc_wushi;无视蛮夷;;;;;;;;;;X
jiandingdejumin;坚定的居民;;;;;;;;;;X
desc_jiandingdejumin;坚定的居民;;;;;;;;;;X
konghuang;恐慌;;;;;;;;;;X
desc_konghuang;当地居民因蛮夷入侵的威胁而感到恐慌;;;;;;;;;;X
junxinfudong;军心浮动;;;;;;;;;;X
desc_junxinfudong;因为军事变革，让我们的军心产生浮动;;;;;;;;;;X
