XXXXX;XXXX;;;;;;;;;;;;;x
bianshen_yinshang_title;重建殷商;;;;;;;;;;X
bianshen_yinshang_desc;自殷商被逆周所亡，殷商后裔日日不敢忘复国大业，今日复成商汤之业，当永传万世。;;;;;;;;;;X
huifushangli_title;恢复商礼;;;;;;;;;;;;;x
huifushangli_desc;殷商的统治已经建立，是时候废除周礼，恢复商代古礼了。;;;;;;;;;;;;;x
huifushangli;商礼;;;;;;;;;;;;;x
desc_huifushangli;今天我们对商代礼制的了解并不足够全面，从已有的记载，以及甲骨文、青铜器上的考古发现而言，商代的继承法比较灵活多变，不单一的遵循嫡长继承和昭穆制度，强调王权的至高无上，规定了庞杂的官僚体系和方国诸侯朝觐制度，对于婚姻方面的礼仪设定也很有特点。;;;;;;;;;;;;;x
wangzizheng_title;王自征;;;;;;;;;;;;;x
wangzizheng_desc;商朝诸王多由御驾亲征的历史，其中武丁、武乙、帝乙、帝辛（纣王）时期对外战争最为频繁。;;;;;;;;;;;;;x
wangzizheng;商王亲征;;;;;;;;;;;;;x
desc_wangzizheng;我们的王亲自统帅军队，军队士气空前高涨。;;;;;;;;;;;;;x
shangshenzungui_title;尚鬼尊神;;;;;;;;;;;;;x
shangshenzungui_desc;商代人的信仰介乎于一神和泛神之间，对于天地山川万物都有对应的信仰对象。不过商带最主要的崇拜对象是“帝”，也就是世间万物的主宰。;;;;;;;;;;;;;x
shangxingtianxia_title;商行天下;;;;;;;;;;;;;x
shangxingtianxia_desc;商朝人崇尚商业，在物质并不发达的时期，萌生了早期的商品经济，商朝人有很多从事长短途运输贩货的人，首都朝歌有大量从事专门交易的小贩，吕尚就曾经在孟津卖饭。后世因此以“商人”来称呼从事买卖交易的人员。;;;;;;;;;;;;;x
shanxingtianxia;商行天下;;;;;;;;;;;;;x
desc_shanxingtianxia;我国商业发达，从事来往买卖的人不绝于道路。;;;;;;;;;;;;;x
XXXXX;XXXX;;;;;;;;;;;;;x
yinshangbianfa_title;康王王政;;;;;;;;;;X
yinshangbianfa_desc;康王王政;;;;;;;;;;X
