XXX;XXX;;;;;;;;;;X
EVTNAME871;部落继承危机;;;;;;;;;;X
EVTDESC871;我们的老酋长死了，祖先将会引导他的灵魂。然而眼下新酋长正面临一次严峻的挑战，地方上各个部落居心叵测，更有甚者似乎正在酝酿着一次谋逆行为。愿老酋长的灵魂保佑我们！;;;;;;;;;;X
EVTOPTA871;叛乱者死！;;;;;;;;;;X
tribal_devision;部落分裂;;;;;;;;;;X
desc_tribal_devision;这些地方部落虽然没有公开反叛，但也没有表现出应有的忠诚，他们似乎在观望什么，又似乎有自立为王的倾向。;;;;;;;;;;X
tribal_succession_crisis;部落继承危机;;;;;;;;;;X
desc_tribal_succession_crisis;老酋长的逝去带来了巨大的危机，是的，全国都处在严重的叛乱危险当中，地方部族和篡权者已经决心起兵了！;;;;;;;;;;X
EVTNAME874;攻陷敌城;;;;;;;;;;X
EVTDESC874;我们的部族已经攻入这座城，应该让部下纵情劫掠了，财宝、粮食、人口、牲畜，这一切都是战士浴血奋战所应得的奖赏。;;;;;;;;;;X
EVTOPTA874;劫掠三天！;;;;;;;;;;X
EVTNAME885;荒蛮难治;;;;;;;;;;X
EVTDESC885;荒蛮难治;;;;;;;;;;X
EVTOPTA885;荒蛮难治;;;;;;;;;;X
EVTNAME893;荒蛮难治;;;;;;;;;;X
EVTDESC893;荒蛮难治;;;;;;;;;;X
EVTOPTA893;荒蛮难治;;;;;;;;;;X
EVTNAME886;消除荒蛮难治;;;;;;;;;;X
EVTDESC886;消除荒蛮难治;;;;;;;;;;X
EVTOPTA886;消除荒蛮难治;;;;;;;;;;X
EVTNAME894;消除荒蛮难治;;;;;;;;;;X
EVTDESC894;消除荒蛮难治;;;;;;;;;;X
EVTOPTA894;消除荒蛮难治;;;;;;;;;;X
EVTNAME897;开发完成;;;;;;;;;;X
EVTDESC897;这里本是荒蛮的土地，不适宜农耕文明，但经过长期开发，如今这里已经与中原无异。;;;;;;;;;;X
EVTOPTA897;可喜可贺;;;;;;;;;;X
