XXX;XXX;;;;;;;;;;X,,
shoujiushili1;守旧势力反对改革（反对宗法制度）;;;;;;;;;;X,,
desc_shoujiushili1;守旧势力反对国家改革，这很有可能引起改革倒退，君主的努力功亏一篑。;;;;;;;;;;X,,
shoujiushili2;守旧势力反对改革（反对世官制度）;;;;;;;;;;X,,
desc_shoujiushili2;守旧势力反对国家改革，这很有可能引起改革倒退，君主的努力功亏一篑。;;;;;;;;;;X,,
shoujiushili3;守旧势力反对改革（反对封君制度）;;;;;;;;;;X,,
desc_shoujiushili3;守旧势力反对国家改革，这很有可能引起改革倒退，君主的努力功亏一篑。;;;;;;;;;;X,,
shoujiushili4;守旧势力反对改革（反对法律制度）;;;;;;;;;;X,,
desc_shoujiushili4;守旧势力反对国家改革，这很有可能引起改革倒退，君主的努力功亏一篑。;;;;;;;;;;X,,
shoujiushili5;守旧势力反对改革（反对都鄙制度）;;;;;;;;;;X,,
desc_shoujiushili5;守旧势力反对国家改革，这很有可能引起改革倒退，君主的努力功亏一篑。;;;;;;;;;;X,,
shoujiushili6;守旧势力反对改革（反对郡县制度）;;;;;;;;;;X,,
desc_shoujiushili6;守旧势力反对国家改革，这很有可能引起改革倒退，君主的努力功亏一篑。;;;;;;;;;;X,,
shoujiushili7;守旧势力反对改革（反对户籍制度）;;;;;;;;;;X,,
desc_shoujiushili7;守旧势力反对国家改革，这很有可能引起改革倒退，君主的努力功亏一篑。;;;;;;;;;;X,,
shoujiushili8;守旧势力反对改革（反对官僚制度）;;;;;;;;;;X,,
desc_shoujiushili8;守旧势力反对国家改革，这很有可能引起改革倒退，君主的努力功亏一篑。;;;;;;;;;;X,,
shoujiubuman;守旧势力反对改革;;;;;;;;;;X,,
desc_shoujiubuman;守旧势力反对国家改革，这很有可能引起改革倒退，君主的努力功亏一篑。;;;;;;;;;;X,,
zongfazhidu1_title;政治改革：确立宗法制度;;;;;;;;;;;;;x,,
zongfazhidu1_desc;宗法制度是由氏族社会父系家长制演变而来的，是王族贵族按血缘关系分配国家权力，以便建立世袭统治的一种制度。这种制度确立于夏朝，完备于周朝，按照周代的宗法制度，宗族中分为大宗和小宗。周王自称天子，称为天下的大宗。诸侯对天子而言是小宗，但在他的封国内却是大宗。卿大夫对诸侯而言是小宗，但在他的采邑内却是大宗。大宗不仅享有对宗族成员的统治权，而且享有政治上的特权。;;;;;;;;;;;;;x,,
zongfazhidu2_title;政治改革：确立宗法制度;;;;;;;;;;;;;x,,
