XXXXX;XXXX;;;;;;;;;;;;;x
EVTNAME4501;瘟疫在$PROVINCENAME$爆发;;;;;;;;;;X
EVTDESC4501;疾疫爆发，野人、国人、卿大夫、商人、公族，身份无论高低贵贱，谁也不能逃脱这场可怕的灾难，短时间内$PROVINCENAME$人口大量死亡，如果不采取相应的措施，瘟疫和感染范围可能进一步扩大。;;;;;;;;;;X
EVTOPTA4501;放任不管，生死由命;;;;;;;;;;X
EVTOPTB4501;不遗余力，积极救治;;;;;;;;;;X
EVTOPTC4501;封锁城镇，严禁出入;;;;;;;;;;X
wenyihengxing;瘟疫横行;;;;;;;;;;X
desc_wenyihengxing;瘟疫横行，死者相枕。;;;;;;;;;X
jijijiuzhi;积极救治;;;;;;;;;;X
desc_jijijiuzhi;采取积极救治的手段，可以大幅度降低瘟疫传播的速度，也可以减小本地的损失。;;;;;;;;;;X
yangefengsuo;严格封锁;;;;;;;;;;X
desc_yangefengsuo;严格封锁城镇，禁止出入，可以确保防止瘟疫的传播。;;;;;;;;;;X
EVTNAME4502;瘟疫传播到了$PROVINCENAME$;;;;;;;;;;X
EVTDESC4502;由于控制不力，瘟疫进一步传播，野人、国人、卿大夫、商人、公族，身份无论高低贵贱，谁也不能逃脱这场可怕的灾难，短时间内$PROVINCENAME$人口大量死亡，如果不采取相应的措施，瘟疫和感染范围可能进一步扩大。;;;;;;;;;;X
EVTOPTA4502;放任不管，生死由命;;;;;;;;;;X
EVTOPTB4502;不遗余力，积极救治;;;;;;;;;;X
EVTOPTC4502;封锁城镇，严禁出入;;;;;;;;;;X
EVTNAME4503;瘟疫传播到了$PROVINCENAME$;;;;;;;;;;X
EVTDESC4503;由于控制不力，瘟疫进一步传播，野人、国人、卿大夫、商人、公族，身份无论高低贵贱，谁也不能逃脱这场可怕的灾难，短时间内$PROVINCENAME$人口大量死亡，如果不采取相应的措施，瘟疫和感染范围可能进一步扩大。;;;;;;;;;;X
EVTOPTA4503;放任不管，生死由命;;;;;;;;;;X
EVTOPTB4503;不遗余力，积极救治;;;;;;;;;;X
EVTOPTC4503;封锁城镇，严禁出入;;;;;;;;;;X
EVTNAME4504;瘟疫传入首都$CAPITAL$;;;;;;;;;;X
EVTDESC4504;最令人担心的事情发生了，瘟疫传播入首都，国民人心惶惶，君主何去何从？;;;;;;;;;;X
EVTOPTA4504;$MONARCH$逃出$CAPITAL$;;;;;;;;;;X
EVTOPTB4504;坚守王宫;;;;;;;;;;X
EVTNAME4505;星孛;;;;;;;;;;X
EVTDESC4505;彗星所谓扫星，本类星，末类彗，小者数寸，长或经天。彗星本无光，傅日而为光，故夕见则东指，晨见则西指。在日南北皆随日光而指，顿挫其芒，或长或短。;;;;;;;;;;X
EVTOPTA4505;君若不改，孛星将出;;;;;;;;;;X
EVTOPTB4505;今孛星见于东井，寡人甚惧焉;;;;;;;;;;X
EVTNAME4506;进献陨石;;;;;;;;;;X
EVTDESC4506;前日彗星掠日，旬月，有国人获陨石于城郊，而长官进献于国君。;;;;;;;;;;X
EVTOPTA4506;此国之吉兆;;;;;;;;;;X
EVTOPTB4506;此国之重宝;;;;;;;;;;X
EVTNAME4507;大地震;;;;;;;;;;X
EVTDESC4507;大地震;;;;;;;;;;X
EVTOPTA4507;大地震;;;;;;;;;;X
EVTNAME4508;大地震;;;;;;;;;;X
EVTDESC4508;$PROVINCENAME$地震，山崩地裂，毁屋数千，死者过万。;;;;;;;;;;X
EVTOPTA4508;令其自生自灭;;;;;;;;;;X
EVTOPTB4508;立即组织救援队;;;;;;;;;;X
EVTNAME4509;洪水漫城;;;;;;;;;;X
EVTDESC4509;洪水爆发于$PROVINCENAME$，河堤崩溃，大水漫城，农田损毁，房屋破落。;;;;;;;;;;X
EVTOPTA4509;建筑损毁;;;;;;;;;;X
